Jerusalem	B	Jerusalem	http://en.wikipedia.org/wiki/Jerusalem	http://dbpedia.org/resource/Jerusalem
7				
-				
15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
A				
high				
level				
Israeli				http://dbpedia.org/resource/Israel
army				
official				
has				
said				
today				
Saturday				
that				
Israel				http://dbpedia.org/resource/Israel
believes				
Iran	B	Iran	http://en.wikipedia.org/wiki/Iran	http://aksw.org/notInWiki/Iran
is				
set				
to				
begin				
acquiring				
nuclear				
capability				
for				
military				
purposes				
from				
2005				
and				
will				
be				
in				
a				
position				
to				
equip				
missiles				
with				
nuclear				
warheads				
,				
capable				
of				
reaching				
Israel				http://dbpedia.org/resource/Israel
,				
within				
ten				
years				
.				
				
The				
official				
,				
who				
wished				
to				
remain				
anonymous				
,				
told				
journalists				
:				
Iran				http://aksw.org/notInWiki/Iran
will				
start				
accumulating				
nuclear				
capability				
for				
military				
purposes				
from				
2005				
and				
will				
be				
in				
a				
position				
,				
within				
the				
space				
of				
10				
years				
,				
to				
produce				
nuclear				
warheads				
that				
can				
be				
fitted				
to				
missiles				
capable				
of				
striking				
Israel				http://dbpedia.org/resource/Israel
.				
				
The				
official				
made				
these				
statements				
after				
Tehran				http://aksw.org/notInWiki/Tehran
announced				
today				
Saturday				
that				
it				
had				
"				
successfully				
"				
completed				
a				
new				
test				
on				
the				
Shahab				http://aksw.org/notInWiki/Shahab3
3				http://aksw.org/notInWiki/Shahab3
ground				
-				
ground				
missile				
with				
a				
range				
of				
1300				
kilometers				
.				
				
The				
official				
further				
said				
:				
Iran				http://aksw.org/notInWiki/Iran
is				
not				
capable				
of				
developing				
a				
nuclear				
program				
without				
Moscow	B	Moscow	http://en.wikipedia.org/wiki/Moscow	http://dbpedia.org/resource/Moscow
'				
s				
help				
.				
				
He				
said				
that				
according				
to				
information				
obtained				
by				
Israel				http://dbpedia.org/resource/Israel
,				
tests				
on				
the				
Shahab				http://aksw.org/notInWiki/Shahab3
3				http://aksw.org/notInWiki/Shahab3
ground				
-				
ground				
missile				
were				
in				
fact				
successful				
and				
reached				
their				
maximum				
range				
of				
1300				
kilometers				
which				
allows				
them				
to				
reach				
strategic				
centers				
in				
Israel				http://dbpedia.org/resource/Israel
.				
				
The				
official				
said				
that				
the				
design				
of				
the				
Shahab				http://aksw.org/notInWiki/Shahab
missile				
is				
based				
on				
a				
North				http://dbpedia.org/resource/North_Korea
Korean				http://dbpedia.org/resource/North_Korea
missile				
called				
Nodong				http://dbpedia.org/resource/Rodong-1
,				
itself				
developed				
from				
the				
Soviet				http://aksw.org/notInWiki/SovietScud
Scud				http://aksw.org/notInWiki/SovietScud
missile				
.				
				
The				
official				
also				
stressed				
that				
Iran				http://aksw.org/notInWiki/Iran
regards				
the				
"				
destruction				
of				
Israel				http://dbpedia.org/resource/Israel
as				
legitimate				
,				
"				
saying				
that				
Tehran				http://aksw.org/notInWiki/Tehran
is				
embroiled				
in				
strategic				
terrorist				
activities				
targeting				
Israel				http://dbpedia.org/resource/Israel
,				
especially				
alongside				
Palestinian				http://dbpedia.org/resource/Palestinian_diaspora
and				
Lebanese				http://aksw.org/notInWiki/Lebanese
organizations				
.				
				
The				
official				
further				
considered				
that				
the				
Shahab				http://aksw.org/notInWiki/Shahab
missile				
will				
not				
come				
into				
operation				
for				
two				
years				
and				
that				
an				
improved				
range				
of				
2000				
kilometers				
would				
only				
be				
achieved				
after				
this				
period				
.				
				
Israel				http://dbpedia.org/resource/Israel
'				
s				
Deputy				
Defense				
Minister				
,				
Ephraim				http://dbpedia.org/resource/Efraim_Sneh
Sneh				http://dbpedia.org/resource/Efraim_Sneh
,				
said				
today				
Saturday				
that				
Israel				http://dbpedia.org/resource/Israel
would				
"				
know				
how				
to				
find				
a				
suitable				
response				
"				
to				
the				
Iranian				http://aksw.org/notInWiki/IranianShahab3
Shahab				http://aksw.org/notInWiki/IranianShahab3
3				http://aksw.org/notInWiki/IranianShahab3
ground				
-				
ground				
missile				
with				
a				
1300				
kilometer				
range				
.				
				
Sneh				http://dbpedia.org/resource/Efraim_Sneh
said				
on				
army				
radio				
that				
"				
Israel				http://dbpedia.org/resource/Israel
will				
prepare				
itself				
to				
find				
a				
suitable				
response				
to				
this				
threat				
,				
"				
without				
giving				
any				
further				
details				
.				
				
The				
Iranian				http://aksw.org/notInWiki/Iranian
army				
announced				
today				
Saturday				
that				
it				
had				
"				
successfully				
"				
completed				
a				
new				
test				
on				
Shahab				http://aksw.org/notInWiki/Shahab3
3				http://aksw.org/notInWiki/Shahab3
ground				
-				
ground				
missiles				
.				
				
An				
official				
at				
the				
Iranian				http://aksw.org/notInWiki/Iranian
