Bandar	B	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	http://dbpedia.org/resource/Bandar_Seri_Begawan
Seri	I	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	http://dbpedia.org/resource/Bandar_Seri_Begawan
Begawan	I	Bandar_Seri_Begawan	http://en.wikipedia.org/wiki/Bandar_Seri_Begawan	http://dbpedia.org/resource/Bandar_Seri_Begawan
11-15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
The				
United	B	United_States	http://en.wikipedia.org/wiki/United_States	http://dbpedia.org/resource/United_States
States	I	United_States	http://en.wikipedia.org/wiki/United_States	http://dbpedia.org/resource/United_States
today				
Wednesday				
deemed				
the				
order				
issued				
by				
Palestinian				http://dbpedia.org/resource/Palestinian_National_Authority
President				
Yasser				http://dbpedia.org/resource/Yasser_Arafat
Arafat				http://dbpedia.org/resource/Yasser_Arafat
for				
a				
ceasefire				
in				
territories				
under				
Palestinian				http://dbpedia.org/resource/Palestinian_National_Authority
Authority				http://dbpedia.org/resource/Palestinian_National_Authority
control				
as				
a				
positive				
gesture				
but				
considered				
that				
it				
does				
not				
release				
constitute				
a				
release				
form				
the				
terms				
of				
the				
Sharm				http://dbpedia.org/resource/Sharm_el-Sheikh
el-Sheikh				http://dbpedia.org/resource/Sharm_el-Sheikh
agreement				
.				
James				http://dbpedia.org/resource/James_Stewart
Stewart				http://dbpedia.org/resource/James_Stewart
,				
the				
White	B	White_House	http://en.wikipedia.org/wiki/White_House	http://dbpedia.org/resource/White_House
House	I	White_House	http://en.wikipedia.org/wiki/White_House	http://dbpedia.org/resource/White_House
's				
spokesman				
in				
Bandar				http://dbpedia.org/resource/Bandar_Seri_Begawan
Seri				http://dbpedia.org/resource/Bandar_Seri_Begawan
Begawan				http://dbpedia.org/resource/Bandar_Seri_Begawan
,				
the				
capital				
of				
the				
Sultanate				http://dbpedia.org/resource/Sultan
of				
Brunei				http://dbpedia.org/resource/Brunei
which				
American				http://dbpedia.org/resource/American_McGee
President				
Bill				http://dbpedia.org/resource/Bill_Clinton
Clinton				http://dbpedia.org/resource/Bill_Clinton
is				
visiting				
,				
said				
``				
of				
course				
we				
positively				
welcome				
the				
announcement				
aimed				
at				
stopping				
the				
violence				
.				
But				
the				
important				
point				
is				
that				
Palestinian				http://dbpedia.org/resource/Palestinian_National_Authority
and				
Israeli				http://dbpedia.org/resource/Israel
officials				
take				
the				
right				
steps				
to				
provide				
a				
safer				
climate				
in				
the				
whole				
region				
.				
''				
Clinton				http://dbpedia.org/resource/Bill_Clinton
is				
to				
take				
part				
in				
the				
Asia-Pacific				http://dbpedia.org/resource/Asia-Pacific_Economic_Cooperation
Economic				http://dbpedia.org/resource/Asia-Pacific_Economic_Cooperation
Cooperation				http://dbpedia.org/resource/Asia-Pacific_Economic_Cooperation
