REPEATING				
Protectively				
				
				
Iran	B	Iran	http://en.wikipedia.org/wiki/Iran	http://aksw.org/notInWiki/Iran
will				
protest				
to				
the				
International				http://aksw.org/notInWiki/InternationalCourtofJustice
Court				http://aksw.org/notInWiki/InternationalCourtofJustice
of				http://aksw.org/notInWiki/InternationalCourtofJustice
Justice				http://aksw.org/notInWiki/InternationalCourtofJustice
at				
the	B	the_Hague	http://en.wikipedia.org/wiki/The_Hague	
Hague	I	the_Hague	http://en.wikipedia.org/wiki/The_Hague	http://dbpedia.org/resource/The_Hague
and				
other				
global				
bodies				
about				
the				
U.S.-funded				http://aksw.org/notInWiki/U.S.-funded
Radio	B	Radio_Free_Europe	http://en.wikipedia.org/wiki/Radio_Free_Europe/Radio_Liberty	http://dbpedia.org/resource/Radio_Free_Europe/Radio_Liberty
Free	I	Radio_Free_Europe	http://en.wikipedia.org/wiki/Radio_Free_Europe/Radio_Liberty	http://dbpedia.org/resource/Radio_Free_Europe/Radio_Liberty
Europe	I	Radio_Free_Europe	http://en.wikipedia.org/wiki/Radio_Free_Europe/Radio_Liberty	http://dbpedia.org/resource/Radio_Free_Europe/Radio_Liberty
,				
the				
Iran				http://aksw.org/notInWiki/IranDaily
Daily				http://aksw.org/notInWiki/IranDaily
reported				
Monday				
.				
				
				
It				
quoted				
Foreign	B	Foreign_Minister	http://en.wikipedia.org/wiki/Foreign_minister	
Minister	I	Foreign_Minister	http://en.wikipedia.org/wiki/Foreign_minister	
Kamal	B	Kamal_Kharrazi	http://en.wikipedia.org/wiki/Kamal_Kharazi	http://dbpedia.org/resource/Kamal_Kharazi
Kharrazi	I	Kamal_Kharrazi	http://en.wikipedia.org/wiki/Kamal_Kharazi	http://dbpedia.org/resource/Kamal_Kharazi
as				
saying				
the				
radio				
``				
was				
set				
up				
to				
interfere				
in				
Iran				http://aksw.org/notInWiki/Iran
's				
internal				
affairs				
.				
''				
				
				
It				
did				
not				
say				
when				
the				
complaints				
will				
be				
filed				
.				
The				
English-language				http://dbpedia.org/resource/British_English
daily				
also				
did				
not				
say				
which				
organizations				
Iran				http://aksw.org/notInWiki/Iran
will				
approach				
besides				
the				
ICJ	B	ICJ	http://en.wikipedia.org/wiki/International_Court_of_Justice	http://aksw.org/notInWiki/ICJ
in				
the	B	the_Netherlands	http://en.wikipedia.org/wiki/Netherlands	
Netherlands	I	the_Netherlands	http://en.wikipedia.org/wiki/Netherlands	http://dbpedia.org/resource/Netherlands
.				
				
				
On				
Tuesday				
,				
Iran				http://aksw.org/notInWiki/Iran
recalled				
its				
ambassador				
from				
Prague	B	Prague	http://en.wikipedia.org/wiki/Prague	http://dbpedia.org/resource/Prague
to				
protest				
the				
Czech	B	Czech	http://en.wikipedia.org/wiki/Czech_Republic	http://dbpedia.org/resource/Czechoslovakia
government				
's				
assistance				
to				
the				
radio				
and				
said				
it				
would				
reduce				
the				
level				
of				
its				
economic				
and				
political				
cooperation				
with				
Prague				http://dbpedia.org/resource/Prague
.				
				
				
The				
American-sponsored				http://aksw.org/notInWiki/American-sponsored
station				
also				
began				
broadcasts				
directed				
to				
Iraq	B	Iraq	http://en.wikipedia.org/wiki/Iraq	http://dbpedia.org/resource/Iraq
on				
Friday				
.				
In				
a				
trial				
period				
of				
several				
weeks				
,				
the				
station				
will				
broadcast				
one				
30-minute				
program				
a				
day				
to				
Iran				http://aksw.org/notInWiki/Iran
and				
Iraq				http://dbpedia.org/resource/Iraq
.				
				
				
The				
Farsi	B	Farsi	http://en.wikipedia.org/wiki/Persian_language	http://dbpedia.org/resource/Jalaleddin_Farsi
-				
language				
service				
to				
Iran				http://aksw.org/notInWiki/Iran
was				
approved				
by				
the				
Czech				http://dbpedia.org/resource/Czechoslovakia
government				
in				
August				
.				
				
				
Radio				http://dbpedia.org/resource/Radio_Free_Europe/Radio_Liberty
Free				http://dbpedia.org/resource/Radio_Free_Europe/Radio_Liberty
Europe				http://dbpedia.org/resource/Radio_Free_Europe/Radio_Liberty
began				
transmitting				
from				
