Stocks				
end				
back-and-forth				
day				
slightly				
higher				
				
NEW	B	NEW_YORK	http://en.wikipedia.org/wiki/New_York_City	http://dbpedia.org/resource/New_York
YORK	I	NEW_YORK	http://en.wikipedia.org/wiki/New_York_City	http://dbpedia.org/resource/New_York
--				
Stocks				
finished				
an				
erratic				
session				
mixed				
Tuesday				
as				
higher				
commodity				
prices				
lifted				
energy				
and				
materials				
shares				
.				
				
Major				
stock				
indexes				
had				
their				
third				
straight				
advance				
,				
reaching				
new				
13-month				
highs				
,				
but				
there				
were				
more				
declining				
shares				
than				
advancers				
on				
the				
New	B	New_York_Stock_Exchange	http://en.wikipedia.org/wiki/New_York_Stock_Exchange	http://dbpedia.org/resource/New_York_Stock_Exchange
York	I	New_York_Stock_Exchange	http://en.wikipedia.org/wiki/New_York_Stock_Exchange	http://dbpedia.org/resource/New_York_Stock_Exchange
Stock	I	New_York_Stock_Exchange	http://en.wikipedia.org/wiki/New_York_Stock_Exchange	http://dbpedia.org/resource/New_York_Stock_Exchange
Exchange	I	New_York_Stock_Exchange	http://en.wikipedia.org/wiki/New_York_Stock_Exchange	http://dbpedia.org/resource/New_York_Stock_Exchange
and				
the				
Nasdaq	B	Nasdaq_Stock_Market	http://en.wikipedia.org/wiki/NASDAQ	http://dbpedia.org/resource/NASDAQ
Stock	I	Nasdaq_Stock_Market	http://en.wikipedia.org/wiki/NASDAQ	
Market	I	Nasdaq_Stock_Market	http://en.wikipedia.org/wiki/NASDAQ	
.				
Stocks				
had				
zigzagged				
for				
much				
of				
the				
day				
on				
mixed				
news				
from				
retailers				
and				
industrial				
production				
.				
				
A				
rebound				
in				
the				
dollar				
after				
three				
down				
days				
kept				
investors				
'				
appetite				
for				
stocks				
in				
check				
.				
An				
eight-month				
weakening				
of				
the				
dollar				
has				
been				
lifting				
commodities				
prices				
and				
shares				
of				
U.S.	B	U.S.	http://en.wikipedia.org/wiki/United_States	http://aksw.org/notInWiki/U.S.
exporters				
,				
which				
benefit				
from				
stronger				
foreign				
