Jerusalem	B	Jerusalem	http://en.wikipedia.org/wiki/Jerusalem	Jerusalem
7				
-				
15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
A				
high				
level				
Israeli				Israel
army				
official				
has				
said				
today				
Saturday				
that				
Israel				Israel
believes				
Iran	B	Iran	http://en.wikipedia.org/wiki/Iran	Iran
is				
set				
to				
begin				
acquiring				
nuclear				
capability				
for				
military				
purposes				
from				
2005				
and				
will				
be				
in				
a				
position				
to				
equip				
missiles				
with				
nuclear				
warheads				
,				
capable				
of				
reaching				
Israel				Israel
,				
within				
ten				
years				
.				
				
The				
official				
,				
who				
wished				
to				
remain				
anonymous				
,				
told				
journalists				
:				
Iran				Iran
will				
start				
accumulating				
nuclear				
capability				
for				
military				
purposes				
from				
2005				
and				
will				
be				
in				
a				
position				
,				
within				
the				
space				
of				
10				
years				
,				
to				
produce				
nuclear				
warheads				
that				
can				
be				
fitted				
to				
missiles				
capable				
of				
striking				
Israel				Israel
.				
				
The				
official				
made				
these				
statements				
after				
Tehran				Tehran
announced				
today				
Saturday				
that				
it				
had				
"				
successfully				
"				
completed				
a				
new				
test				
on				
the				
Shahab				Shahab-3
3				Shahab-3
ground				
-				
ground				
missile				
with				
a				
range				
of				
1300				
kilometers				
.				
				
The				
official				
further				
said				
:				
Iran				Iran
is				
not				
capable				
of				
developing				
a				
nuclear				
program				
without				
Moscow	B	Moscow	http://en.wikipedia.org/wiki/Moscow	Moscow
'				
s				
help				
.				
				
He				
said				
that				
according				
to				
information				
obtained				
by				
Israel				Israel
,				
tests				
on				
the				
Shahab				Shahab-3
3				Shahab-3
ground				
-				
ground				
missile				
were				
in				
fact				
successful				
and				
reached				
their				
maximum				
range				
of				
1300				
kilometers				
which				
allows				
them				
to				
reach				
strategic				
centers				
in				
Israel				Israel
.				
				
The				
official				
said				
that				
the				
design				
of				
the				
Shahab				Shahab-3
missile				
is				
based				
on				
a				
North				North_Korea
Korean				North_Korea
missile				
called				
Nodong				Rodong-1
,				
itself				
developed				
from				
the				
Soviet				
Scud				
missile				
.				
				
The				
official				
also				
stressed				
that				
Iran				Iran
regards				
the				
"				
destruction				
of				
Israel				Israel
as				
legitimate				
,				
"				
saying				
that				
Tehran				Tehran
is				
embroiled				
in				
strategic				
terrorist				
activities				
targeting				
Israel				Israel
,				
especially				
alongside				
Palestinian				State_of_Palestine
and				
Lebanese				Lebanon
organizations				
.				
				
The				
official				
further				
considered				
that				
the				
Shahab				Shahab-3
missile				
will				
not				
come				
into				
operation				
for				
two				
years				
and				
that				
an				
improved				
range				
of				
2000				
kilometers				
would				
only				
be				
achieved				
after				
this				
period				
.				
				
Israel				Israel
'				
s				
Deputy				
Defense				
Minister				
,				
Ephraim				Efraim_Sneh
Sneh				Efraim_Sneh
,				
said				
today				
Saturday				
that				
Israel				Israel
would				
"				
know				
how				
to				
find				
a				
suitable				
response				
"				
to				
the				
Iranian				
Shahab				
3				
ground				
-				
ground				
missile				
with				
a				
1300				
kilometer				
range				
.				
				
Sneh				Efraim_Sneh
said				
on				
army				
radio				
that				
"				
Israel				Israel
will				
prepare				
itself				
to				
find				
a				
suitable				
response				
to				
this				
threat				
,				
"				
without				
giving				
any				
further				
details				
.				
				
The				
Iranian				Iran
army				
announced				
today				
Saturday				
that				
it				
had				
"				
successfully				
"				
completed				
a				
new				
test				
on				
Shahab				Shahab-3
3				Shahab-3
ground				
-				
ground				
missiles				
.				
				
An				
official				
at				
the				
Iranian				Iran
Ministry	B	Ministry_of_Defense	http://en.wikipedia.org/wiki/Ministry_of_Defense_and_Armed_Forces_Logistics_(Iran)	Ministry_of_Defense_(Israel)
of	I	Ministry_of_Defense	http://en.wikipedia.org/wiki/Ministry_of_Defense_and_Armed_Forces_Logistics_(Iran)	Ministry_of_Defense_(Israel)
Defense	I	Ministry_of_Defense	http://en.wikipedia.org/wiki/Ministry_of_Defense_and_Armed_Forces_Logistics_(Iran)	Ministry_of_Defense_(Israel)
told				
Tehran	B	Tehran_Radio	--NME--	
Radio	I	Tehran_Radio	--NME--	
that				
the				
Shahab				Shahab-3
3				Shahab-3
defense				
missile				
was				
tested				
a				
second				
time				
to				
ensure				
it				
conforms				
to				
international				
standards				
.				
				
In				
July				
1998				
,				
the				
first				
test				
on				
this				
missile				
was				
announced				
.				
				
It				
is				
capable				
of				
reaching				
the				
majority				
of				
countries				
in				
the				
region				
,				
including				
Israel				Israel
.				
				
Beirut	B	Beirut	http://en.wikipedia.org/wiki/Beirut	Beirut
8				
-				
15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
Lebanon	B	Lebanon	http://en.wikipedia.org/wiki/Lebanon	Lebanon
has				
asked				
the				
international				
peacekeeping				
force				
operating				
in				
the				
south				
to				
investigate				
reports				
indicating				
that				
Israel	B	Israel	http://en.wikipedia.org/wiki/Israel	Israel
is				
penetrating				
the				
shared				
border				
between				
the				
two				
countries				
and				
to				
prevent				
this				
from				
happening				
.				
				
According				
to				
official				
sources				
,				
the				
Lebanese				Lebanon
authorities				
contacted				
the				
peacekeeping				
high				
command				
and				
asked				
it				
to				
put				
an				
end				
to				
infringements				
by				
Israel				Israel
,				
which				
is				
carrying				
out				
operations				
inside				
Lebanese				Lebanon
territory				
,				
in				
particular				
dumping				
sand				
and				
building				
slopes				
.				
				
The				
source				
added				
that				
if				
this				
is				
confirmed				
,				
then				
such				
acts				
constitute				
a				
provocation				
and				
an				
infringement				
of				
Lebanese				Lebanon
sovereignty				
.				
				
Witnesses				
said				
two				
Israeli				Israel
bulldozers				
started				
work				
today				
Tuesday				
on				
a				
slope				
in				
the				
Abbad	B	Abbad_sector	--NME--	
sector	I	Abbad_sector	--NME--	
inside				
Lebanese				Lebanon
territory				
on				
the				
border				
between				
Lebanon				Lebanon
and				
Israel				Israel
.				
				
These				
witnesses				
told				
Agence				Agence_France-Presse
France				Agence_France-Presse
Presse				Agence_France-Presse
that				
an				
Israeli				Israel
army				
patrol				
equipped				
with				
ultra				
-				
modern				
binoculars				
penetrated				
a				
few				
meters				
into				
Lebanese				Lebanon
territory				
but				
withdrew				
back				
to				
Israeli				Israel
territory				
as				
soon				
as				
a				
peacekeeping				
patrol				
arrived				
.				
				
Families				
in				
southern				
Lebanon				Lebanon
visit				
this				
area				
where				
,				
according				
to				
tradition				
,				
the				
burial				
site				
of				
Sheikh				
Abbad				
,				
who				
died				
500				
years				
ago				
,				
is				
located				
.				
				
For				
their				
part				
,				
Israelis				Israel
also				
regard				
the				
site				
as				
a				
shrine				
because				
,				
according				
to				
them				
,				
Rabbi				Rav_Ashi
Ashi				Rav_Ashi
lived				
there				
in				
the				
5th				
century				
.				
				
The				
Israeli				Israel
army				
had				
previously				
carried				
out				
operations				
inside				
Lebanese				Lebanon
territory				
in				
the				
same				
border				
region				
on				
August				
11				
.				
				
Last				
Friday				
,				
an				
Israeli				Israel
bulldozer				
crossed				
the				
wire				
fence				
in				
Wadi	B	Wadi_Marjayoun	--NME--	
Marjayoun	I	Wadi_Marjayoun	--NME--	
near				
the				
Israeli				Israel
village				
of				
Matla				Matla_River
and				
spread				
sand				
over				
a				
length				
of				
hundreds				
of				
meters				
and				
a				
width				
of				
six				
meters				
in				
order				
to				
expose				
the				
footprints				
of				
people				
crossing				
the				
border				
or				
tire				
prints				
of				
cars				
from				
the				
Lebanese				Lebanon
side				
.				
				
Beirut	B	Beirut	http://en.wikipedia.org/wiki/Beirut	Beirut
10				
-				
15				
(				
AFP	B	AFP	http://en.wikipedia.org/wiki/Agence_France-Presse	
)				
-				
The				
Saudi	B	Saudi_Soccer_Federation	--NME--	
Soccer	I	Saudi_Soccer_Federation	--NME--	
Federation	I	Saudi_Soccer_Federation	--NME--	
sacked				
the				
team				
'				
s				
Czech				Czech_Republic
coach				
Milan				
Machala				
from				
his				
post				
today				
Sunday				
and				
appointed				
his				
assistant				
,				
Nasser				
Jawhar				
,				
in				
his				
place				
.				
				
The				
title				
-				
holding				
Saudi				Saudi_Arabia
team				
suffered				
a				
bitter				
defeat				
(				
1				
-				
4				
)				
against				
its				
Japanese				Japan
counterpart				
in				
its				
first				
match				
in				
the				
championship				
yesterday				
Saturday				
.				
				
The				
Youth	B	Youth_and_Sports_Bureau	--NME--	
and	I	Youth_and_Sports_Bureau	--NME--	
Sports	I	Youth_and_Sports_Bureau	--NME--	
Bureau	I	Youth_and_Sports_Bureau	--NME--	
in				
Saudi				Saudi_Arabia
Arabia				Saudi_Arabia
released				
a				
statement				
saying				
:				
Prince				
Sultan				
Ben				
Fahd				
,				
president				
of				
the				
Youth				
and				
Sports				
Bureau				
and				
president				
of				
the				
Saudi				
Soccer				
Federation				
,				
has				
issued				
a				
decision				
by				
order				
of				
which				
Czech				Czech_Republic
coach				
Machala				Machala
has				
been				
discharged				
and				
Nasser				
Jawhar				
has				
been				
placed				
in				
charge				
of				
training				
the				
team				
during				
the				
championship				
.				
				
He				
carried				
on				
:				
This				
decision				
is				
the				
result				
of				
the				
Saudi				
Federation				
ensuring				
the				
best				
technical				
conditions				
for				
the				
team				
in				
order				
to				
reflect				
the				
true				
level				
of				
Saudi				Saudi_Arabia
soccer				
.				
				
In				
a				
telephone				
call				
with				
Agence				Agence_France-Presse
France				Agence_France-Presse
Presse				Agence_France-Presse
at				
his				
hotel				
,				
Machala				Machala
refused				
to				
give				
his				
opinion				
regarding				
the				
decision				
and				
said				
no				
comment				
.				
				Machala
Machala				Machala
is				
the				
first				
victim				
of				
the				
12th				
Asian				AFC_Asian_Cup
Nations				AFC_Asian_Cup
Cup				AFC_Asian_Cup
finals				
hosted				
by				
Lebanon	B	Lebanon	http://en.wikipedia.org/wiki/Lebanon	Lebanon
until				
this				
October				
29				
as				
the				
