Jerusalem B-Jerusalem B-Jerusalem
7 O O
- O O
15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
A O O
high O O
level O O
Israeli O O
army O O
official O O
has O O
said O O
today O O
Saturday O O
that O O
Israel O O
believes O O
Iran B-Iran B-Iran
is O O
set O O
to O O
begin O O
acquiring O O
nuclear O O
capability O O
for O O
military O O
purposes O O
from O O
2005 O O
and O O
will O O
be O O
in O O
a O O
position O O
to O O
equip O O
missiles O O
with O O
nuclear O O
warheads O O
, O O
capable O O
of O O
reaching O O
Israel O O
, O O
within O O
ten O O
years O O
. O O
The O O
official O O
, O O
who O O
wished O O
to O O
remain O O
anonymous O O
, O O
told O O
journalists O O
: O O
Iran O O
will O O
start O O
accumulating O O
nuclear O O
capability O O
for O O
military O O
purposes O O
from O O
2005 O O
and O O
will O O
be O O
in O O
a O O
position O O
, O O
within O O
the O O
space O O
of O O
10 O O
years O O
, O O
to O O
produce O O
nuclear O O
warheads O O
that O O
can O O
be O O
fitted O O
to O O
missiles O O
capable O O
of O O
striking O O
Israel O O
. O O
The O O
official O O
made O O
these O O
statements O O
after O O
Tehran O O
announced O O
today O O
Saturday O O
that O O
it O O
had O O
" O O
successfully O O
" O O
completed O O
a O O
new O O
test O O
on O O
the O O
Shahab O O
3 O O
ground O O
- O O
ground O O
missile O O
with O O
a O O
range O O
of O O
1300 O O
kilometers O O
. O O
The O O
official O O
further O O
said O O
: O O
Iran O O
is O O
not O O
capable O O
of O O
developing O O
a O O
nuclear O O
program O O
without O O
Moscow B-Moscow B-Moscow
' O O
s O O
help O O
. O O
He O O
said O O
that O O
according O O
to O O
information O O
obtained O O
by O O
Israel O O
, O O
tests O O
on O O
the O O
Shahab O O
3 O O
ground O O
- O O
ground O O
missile O O
were O O
in O O
fact O O
successful O O
and O O
reached O O
their O O
maximum O O
range O O
of O O
1300 O O
kilometers O O
which O O
allows O O
them O O
to O O
reach O O
strategic O O
centers O O
in O O
Israel O O
. O O
The O O
official O O
said O O
that O O
the O O
design O O
of O O
the O O
Shahab O O
missile O O
is O O
based O O
on O O
a O O
North O O
Korean O O
missile O O
called O O
Nodong O O
, O O
itself O O
developed O O
from O O
the O O
Soviet O O
Scud O O
missile O O
. O O
The O O
official O O
also O O
stressed O O
that O O
Iran O O
regards O O
the O O
" O O
destruction O O
of O O
Israel O O
as O O
legitimate O O
, O O
" O O
saying O O
that O O
Tehran O O
is O O
embroiled O O
in O O
strategic O O
terrorist O O
activities O O
targeting O O
Israel O O
, O O
especially O O
alongside O O
Palestinian O O
and O O
Lebanese O O
organizations O O
. O O
The O O
official O O
further O O
considered O O
that O O
the O O
Shahab O O
missile O O
will O O
not O O
come O O
into O O
operation O O
for O O
two O O
years O O
and O O
that O O
an O O
improved O O
range O O
of O O
2000 O O
kilometers O O
would O O
only O O
be O O
achieved O O
after O O
this O O
period O O
. O O
Israel O O
' O O
s O O
Deputy O O
Defense O O
Minister O O
, O O
Ephraim O O
Sneh O O
, O O
said O O
today O O
Saturday O O
that O O
Israel O O
would O O
" O O
know O O
how O O
to O O
find O O
a O O
suitable O O
response O O
" O O
to O O
the O O
Iranian O O
Shahab O O
3 O O
ground O O
- O O
ground O O
missile O O
with O O
a O O
1300 O O
kilometer O O
range O O
. O O
Sneh O O
said O O
on O O
army O O
radio O O
that O O
" O O
Israel O O
will O O
prepare O O
itself O O
to O O
find O O
a O O
suitable O O
response O O
to O O
this O O
threat O O
, O O
" O O
without O O
giving O O
any O O
further O O
details O O
. O O
The O O
Iranian O O
army O O
announced O O
today O O
Saturday O O
that O O
it O O
had O O
" O O
successfully O O
" O O
completed O O
a O O
new O O
test O O
on O O
Shahab O O
3 O O
ground O O
- O O
ground O O
missiles O O
. O O
An O O
official O O
at O O
the O O
Iranian O O
Ministry B-Ministry_of_Defense_and_Armed_Forces_Logistics_(Iran) B-Ministry_of_Defense_(Israel)
of I-Ministry_of_Defense_and_Armed_Forces_Logistics_(Iran) I-Ministry_of_Defense_(Israel)
Defense I-Ministry_of_Defense_and_Armed_Forces_Logistics_(Iran) I-Ministry_of_Defense_(Israel)
told O O
Tehran B---NME-- O
Radio I---NME-- O
that O O
the O O
Shahab O O
3 O O
defense O O
missile O O
was O O
tested O O
a O O
second O O
time O O
to O O
ensure O O
it O O
conforms O O
to O O
international O O
standards O O
. O O
In O O
July O O
1998 O O
, O O
the O O
first O O
test O O
on O O
this O O
missile O O
was O O
announced O O
. O O
It O O
is O O
capable O O
of O O
reaching O O
the O O
majority O O
of O O
countries O O
in O O
the O O
region O O
, O O
including O O
Israel O O
. O O
Beirut B-Beirut B-Beirut
8 O O
- O O
15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
Lebanon B-Lebanon B-Lebanon
has O O
asked O O
the O O
international O O
peacekeeping O O
force O O
operating O O
in O O
the O O
south O O
to O O
investigate O O
reports O O
indicating O O
that O O
Israel B-Israel B-Israel
is O O
penetrating O O
the O O
shared O O
border O O
between O O
the O O
two O O
countries O O
and O O
to O O
prevent O O
this O O
from O O
happening O O
. O O
According O O
to O O
official O O
sources O O
, O O
the O O
Lebanese O O
authorities O O
contacted O O
the O O
peacekeeping O O
high O O
command O O
and O O
asked O O
it O O
to O O
put O O
an O O
end O O
to O O
infringements O O
by O O
Israel O O
, O O
which O O
is O O
carrying O O
out O O
operations O O
inside O O
Lebanese O O
territory O O
, O O
in O O
particular O O
dumping O O
sand O O
and O O
building O O
slopes O O
. O O
The O O
source O O
added O O
that O O
if O O
this O O
is O O
confirmed O O
, O O
then O O
such O O
acts O O
constitute O O
a O O
provocation O O
and O O
an O O
infringement O O
of O O
Lebanese O O
sovereignty O O
. O O
Witnesses O O
said O O
two O O
Israeli O O
bulldozers O O
started O O
work O O
today O O
Tuesday O O
on O O
a O O
slope O O
in O O
the O O
Abbad B---NME-- O
sector I---NME-- O
inside O O
Lebanese O O
territory O O
on O O
the O O
border O O
between O O
Lebanon O O
and O O
Israel O O
. O O
These O O
witnesses O O
told O O
Agence O O
France O O
Presse O O
that O O
an O O
Israeli O O
army O O
patrol O O
equipped O O
with O O
ultra O O
- O O
modern O O
binoculars O O
penetrated O O
a O O
few O O
meters O O
into O O
Lebanese O O
territory O O
but O O
withdrew O O
back O O
to O O
Israeli O O
territory O O
as O O
soon O O
as O O
a O O
peacekeeping O O
patrol O O
arrived O O
. O O
Families O O
in O O
southern O O
Lebanon O O
visit O O
this O O
area O O
where O O
, O O
according O O
to O O
tradition O O
, O O
the O O
burial O O
site O O
of O O
Sheikh O O
Abbad O O
, O O
who O O
died O O
500 O O
years O O
ago O O
, O O
is O O
located O O
. O O
For O O
their O O
part O O
, O O
Israelis O O
