Bandar B-Bandar_Seri_Begawan B-Bandar_Seri_Begawan
Seri I-Bandar_Seri_Begawan I-Bandar_Seri_Begawan
Begawan I-Bandar_Seri_Begawan I-Bandar_Seri_Begawan
11-15 O O
( O O
AFP B-Agence_France-Presse O
) O O
- O O
The O O
United B-United_States B-United_States
States I-United_States I-United_States
today O O
Wednesday O O
deemed O O
the O O
order O O
issued O O
by O O
Palestinian O O
President O O
Yasser O O
Arafat O O
for O O
a O O
ceasefire O O
in O O
territories O O
under O O
Palestinian O O
Authority O O
control O O
as O O
a O O
positive O O
gesture O O
but O O
considered O O
that O O
it O O
does O O
not O O
release O O
constitute O O
a O O
release O O
form O O
the O O
terms O O
of O O
the O O
Sharm O O
el-Sheikh O O
agreement O O
. O O
James O O
Stewart O O
, O O
the O O
White B-White_House B-White_House
House I-White_House I-White_House
's O O
spokesman O O
in O O
Bandar O O
Seri O O
Begawan O O
, O O
the O O
capital O O
of O O
the O O
Sultanate O O
of O O
Brunei O O
which O O
American O O
President O O
Bill O O
Clinton O O
is O O
visiting O O
, O O
said O O
`` O O
of O O
course O O
we O O
positively O O
welcome O O
the O O
announcement O O
aimed O O
at O O
stopping O O
the O O
violence O O
. O O
But O O
the O O
important O O
point O O
is O O
that O O
Palestinian O O
and O O
Israeli O O
officials O O
take O O
the O O
right O O
steps O O
to O O
provide O O
a O O
safer O O
climate O O
in O O
the O O
whole O O
region O O
. O O
'' O O
Clinton O O
is O O
to O O
take O O
part O O
in O O
the O O
Asia-Pacific O O
Economic O O
Cooperation O O
forum O O
( O O
APEC O O
) O O
in O O
Brunei O O
. O O
The O O
American O O
spokesman O O
said O O
President O O
Bill O O
Clinton O O
spoke O O
to O O
Arafat O O
on O O
the O O
telephone O O
after O O
arriving O O
in O O
Brunei O O
yesterday O O
evening O O
Tuesday O O
. O O
He O O
said O O
`` O O
their O O
conversation O O
focused O O
on O O
ways O O
to O O
stop O O
the O O
violence O O
because O O
we O O
believe O O
that O O
it O O
is O O
extremely O O
important O O
for O O
the O O
sides O O
to O O
take O O
immediate O O
measures O O
to O O
end O O
the O O
tension O O
and O O
reduce O O
the O O
violence O O
. O O
'' O O
A O O
high-level O O
Palestinian O O
source O O
said O O
today O O
that O O
the O O
Palestinian B-Palestinian_National_Council O
Superior I-Palestinian_National_Council O
Security I-Palestinian_National_Council O
Council I-Palestinian_National_Council O
led O O
by O O
President O O
Yasser O O
Arafat O O
issued O O
orders O O
to O O
stop O O
shooting O O
inside O O
area O O
`` O O
A O O
'' O O
under O O
Palestinian O O
control O O
. O O
The O O
source O O
who O O
wished O O
to O O
remain O O
anonymous O O
said O O
that O O
`` O O
the O O
Palestinian O O
Superior O O
Security O O
Council O O
led O O
by O O
President O O
Yasser O O
Arafat O O
issued O O
orders O O
to O O
stop O O
unknown O O
armed O O
persons O O
from O O
shooting O O
inside O O
zone O O
`` O O
A O O
'' O O
under O O
complete O O
Palestinian O O
control O O
and O O
from O O
between O O
buildings O O
and O O
civilians O O
in O O
the O O
Palestinian O O
Territories O O
. O O
'' O O
Zone O O
`` O O
A O O
'' O O
covers O O
areas O O
controlled O O
completely O O
by O O
the O O
Palestinian O O
Authority O O
in O O
the O O
West O O
Bank O O
and O O
Gaza O O
Strip O O
. O O
DOCEND O O
Documented O O
. O O
From O O
NPR B-NPR B-NPR
news I-NPR O
in O O
Washington B-Washington,_D.C. B-Washington,_D.C.
, O O
I O O
'm O O
Corey O O
Flintoff O O
. O O
A O O
Florida O O
State O O
judge O O
has O O
ordered O O
local O O
election O O
officials O O
to O O
ship O O
thousands O O
of O O
ballots O O
to O O
the O O
state O O
capital O O
. O O
The O O
move O O
comes O O
as O O
the O O
judge O O
decides O O
whether O O
to O O
order O O
a O O
recount O O
of O O
those O O
ballots O O
in O O
the O O
presidential O O
election O O
. O O
NPR O O
's O O
Steve O O
Inski O O
was O O
in O O
the O O
courtroom O O
. O O
Steve O O
, O O
what O O
are O O
the O O
issues O O
that O O
came O O
up O O
in O O
this O O
hearing O O
tonight O O
? O O
Corey O O
judge O O
N. O O
Sander O O
Sauls O O
is O O
deciding O O
whether O O
to O O
order O O
a O O
recount O O
as O O
you O O
said O O
of O O
those O O
ballots O O
, O O
9000 O O
or O O
more O O
actually O O
from O O
Miami B-Miami-Dade_County,_Florida B-Miami-Dade_County,_Florida
Dade I-Miami-Dade_County,_Florida I-Miami-Dade_County,_Florida
County I-Miami-Dade_County,_Florida I-Miami-Dade_County,_Florida
that O O
apparently O O
were O O
never O O
counted O O
at O O
all O O
, O O
at O O
least O O
according O O
to O O
the O O
Democrats B-Democratic_Party_(United_States) B-Democratic_Party_(United_States)
in O O
the O O
presidential O O
election O O
and O O
about O O
3300 O O
ballots O O
from O O
Palm B-Palm_Beach_County,_Florida B-Palm_Beach_County,_Florida
Beach I-Palm_Beach_County,_Florida I-Palm_Beach_County,_Florida
County I-Palm_Beach_County,_Florida I-Palm_Beach_County,_Florida
that O O
were O O
considered O O
by O O
local O O
officials O O
but O O
then O O
thrown O O
out O O
, O O
disallowed O O
. O O
Judge O O
Sauls O O
is O O
deciding O O
whether O O
to O O
count O O
those O O
ballots O O
and O O
go O O
through O O
them O O
and O O
perhaps O O
add O O
some O O
votes O O
to O O
Al B-Al_Gore B-Al_Gore
Gore I-Al_Gore I-Al_Gore
's O O
final O O
total O O
, O O
which O O
is O O
exactly O O
what O O
the O O
Democrats O O
want O O
. O O
He O O
is O O
not O O
ready O O
to O O
do O O
that O O
yet O O
. O O
He O O
did O O
not O O
agree O O
to O O
the O O
Democratic O O
proposal O O
to O O
begin O O
counting O O
tomorrow O O
morning O O
but O O
he O O
has O O
ordered O O
that O O
the O O
ballots O O
be O O
shipped O O
up O O
. O O
Later O O
this O O
week O O
, O O
Miami O O
Police O O
apparently O O
are O O
going O O
to O O
escort O O
them O O
upto O O
Tallahassee O O
and O O
they O O
will O O
be O O
ready O O
to O O
be O O
counted O O
if O O
the O O
judge O O
decides O O
at O O
a O O
later O O
time O O
to O O
do O O
so O O
. O O
Now O O
time O O
is O O
a O O
big O O
consideration O O
from O O
here O O
. O O
What O O
's O O
the O O
judge O O
's O O
timetable O O
? O O
Not O O
as O O
fast O O
as O O
the O O
Democrats O O
would O O
like O O
, O O
not O O
as O O
slowly O O
as O O
Republicans O O
would O O
prefer O O
. O O
He O O
is O O
going O O
to O O
order O O
a O O
major O O
hearing O O
on O O
Saturday O O
to O O
review O O
all O O
the O O
legal O O
and O O
evidentiary O O
issues O O
, O O
look O O
at O O
evidence O O
, O O
perhaps O O
hear O O
from O O
witnesses O O
and O O
after O O
that O O
the O O
judge O O
will O O
decide O O
if O O
there O O
are O O
any O O
ballots O O
to O O
count O O
. O O
It O O
might O O
take O O
another O O
five O O
days O O
or O O
so O O
to O O
do O O
it O O
. O O
Neither O O
side O O
seemed O O
particularly O O
pleased O O
by O O
the O O
timetable O O
but O O
the O O
judge O O
said O O
, O O
well O O
, O O
I O O
am O O
going O O
to O O
make O O
everybody O O
equally O O
unhappy O O
. O O
Thank O O
you O O
. O O
NPR O O
's O O
Steven O O
Inksi O O
reporting O O
from O O
Tallahassee O O
, O O
Florida O O
. O O
As O O
the O O
battle O O
over O O
votes O O
goes O O
on O O
in O O
Florida O O
, O O
Washington B-Washington_(state) B-Washington_State_University
State I-Washington_(state) I-Washington_State_University
is O O
in O O
the O O
middle O O
of O O
recounting O O
